Item Name/Number,Purchase Price,Vendor Purchase Price,NEW OP,Minimum Quantity
Apollo C2-1174,148,148,183.52,1
Apollo C2-1173,148,148,183.52,1
Apollo C2-1172,148,148,183.52,1
Apollo C2-1171,148,148,183.52,1
Apollo C2-1170,148,148,183.52,1
Apollo C2-1169,148,148,183.52,1
Apollo C2-1168,148,148,183.52,1
Apollo C2-1167,148,148,183.52,1
Apollo C2-1166,148,148,183.52,1
Apollo C2-1165,148,148,183.52,1
Apollo C2-1164,148,148,183.52,1
Apollo C2-1163,148,148,183.52,1
Apollo C2-1162,148,148,183.52,1
Apollo C2-1161,148,148,183.52,1
Apollo C2-1160,148,148,183.52,1
Apollo C2-1159,148,148,183.52,1
Apollo C2-1158,148,148,183.52,1
Apollo C2-1157,148,148,183.52,1
Apollo C2-1156,148,148,183.52,1
Apollo C2-1155,148,148,183.52,1
Apollo C2-1154,148,148,183.52,1
Apollo C2-1153,148,148,183.52,1
Apollo C2-1152,148,148,183.52,1
Apollo C2-1150,148,148,183.52,1
Apollo C2-1149,148,148,183.52,1
Apollo C2-1148,148,148,183.52,1
Apollo C2-1147,148,148,183.52,1
Apollo C2-1146,148,148,183.52,1
Apollo C2-1145,148,148,183.52,1
Apollo C2-1144,148,148,183.52,1
Apollo C2-1143,148,148,183.52,1
Apollo C2-1142,148,148,183.52,1
Apollo C2-1141,148,148,183.52,1
Apollo C2-1140,148,148,183.52,1
Apollo C2-1139,148,148,183.52,1
Apollo C2-1138,148,148,183.52,1
Apollo C2-1137,148,148,183.52,1
Apollo C2-1136,148,148,183.52,1
Apollo C2-1135,148,148,183.52,1
Apollo C2-1134,148,148,183.52,1
Apollo C2-1133,148,148,183.52,1
Apollo C2-1132,148,148,183.52,1
Apollo C2-1131,148,148,183.52,1
Apollo C2-1130,148,148,183.52,1
Apollo C2-1129,148,148,183.52,1
Apollo C2-1128,148,148,183.52,1
Apollo C2-1127,148,148,183.52,1
Apollo C2-1126,148,148,183.52,1
Apollo C2-1125,148,148,183.52,1
Apollo C2-1124,148,148,183.52,1
Apollo C2-1123,148,148,183.52,1
Apollo C2-1122,148,148,183.52,1
Apollo C2-1121,148,148,183.52,1
Apollo C2-1120,148,148,183.52,1
Apollo C2-1119,148,148,183.52,1
Apollo C2-1118,148,148,183.52,1
Apollo C2-1117,148,148,183.52,1
Apollo C2-1116,148,148,183.52,1
Apollo C2-1115,148,148,183.52,1
Apollo C2-1114,148,148,183.52,1
Apollo C2-1113,148,148,183.52,1
Apollo C2-1112,148,148,183.52,1
Apollo C2-1111,148,148,183.52,1
Apollo C2-1010,148,148,183.52,1
Apollo C2-1009,148,148,183.52,1
Apollo C2-1008,148,148,183.52,1
Apollo C2-1007,148,148,183.52,1
Apollo C2-1006,148,148,183.52,1
Apollo C2-1005,148,148,183.52,1
Apollo C2-1004,148,148,183.52,1
Apollo C2-1003,148,148,183.52,1
Apollo C2-1002,148,148,183.52,1
Apollo C2-1001,148,148,183.52,1
Apollo C2-1000,148,148,183.52,1
Apollo C2-0900,148,148,183.52,1
Apollo C2-0803,148,148,183.52,1
Apollo C2-0802,148,148,183.52,1
Apollo C2-0801,148,148,183.52,1
Apollo C2-0800,148,148,183.52,1
Apollo C2-0170,148,148,183.52,1
Apollo C2-0169,148,148,183.52,1
Apollo C2-0168,148,148,183.52,1
Apollo C2-0167,148,148,183.52,1
Apollo C2-0166,148,148,183.52,1
Apollo C2-0165,148,148,183.52,1
Apollo C2-0164,148,148,183.52,1
Apollo C2-0163,148,148,183.52,1
Apollo C2-0162,148,148,183.52,1
Apollo C2-0161,148,148,183.52,1
Apollo C2-0160,148,148,183.52,1
Apollo C2-0159,148,148,183.52,1
Apollo C2-0158,148,148,183.52,1
Apollo C2-0157,148,148,183.52,1
Apollo C2-0156,148,148,183.52,1
Apollo C2-0155,148,148,183.52,1
Apollo C2-0154,148,148,183.52,1
Apollo C2-0153,148,148,183.52,1
Apollo C2-0152,148,148,183.52,1
Apollo C2-0151,148,148,183.52,1
Apollo C2-0150,148,148,183.52,1
Apollo C2-0149,148,148,183.52,1
Apollo C2-0148,148,148,183.52,1
Apollo C2-0147,148,148,183.52,1
Apollo C2-0146,148,148,183.52,1
Apollo C2-0145,148,148,183.52,1
Apollo C2-0142,148,148,183.52,1
Apollo C2-0140,148,148,183.52,1
Apollo C2-0139,148,148,183.52,1
Apollo C2-0138,148,148,183.52,1
Apollo C2-0137,148,148,183.52,1
Apollo C2-0136,148,148,183.52,1
Apollo C2-0135,148,148,183.52,1
Apollo C2-0134,148,148,183.52,1
Apollo C2-0133,148,148,183.52,1
Apollo C2-0132,148,148,183.52,1
Apollo C2-0131,148,148,183.52,1
Apollo C2-0130,148,148,183.52,1
Apollo C2-0129,148,148,183.52,1
Apollo C2-0128,148,148,183.52,1
Apollo C2-0127,148,148,183.52,1
Apollo C2-0126,148,148,183.52,1
Apollo C2-0125,148,148,183.52,1
Apollo C2-0124,148,148,183.52,1
Apollo C2-0123,148,148,183.52,1
Apollo C2-0122,148,148,183.52,1
Apollo C2-0121,148,148,183.52,1
Apollo C2-0120,148,148,183.52,1
Apollo C2-0119,148,148,183.52,1
Apollo C2-0118,148,148,183.52,1
Apollo C2-0117,148,148,183.52,1
Apollo C2-0116,148,148,183.52,1
Apollo C2-0115,148,148,183.52,1
Apollo C2-0114,148,148,183.52,1
Apollo C2-0113,148,148,183.52,1
Apollo C2-0112,148,148,183.52,1
Apollo C2-0111,148,148,183.52,1
Apollo C2-0110,148,148,183.52,1
Apollo C2-0109,148,148,183.52,1
Apollo C2-0108,148,148,183.52,1
Apollo C2-0107,148,148,183.52,1
Apollo C2-0106,148,148,183.52,1
Apollo C2-0105,148,148,183.52,1
Apollo C2-0104,148,148,183.52,1
Apollo C2-0103,148,148,183.52,1
Apollo C2-0102,148,148,183.52,1
Apollo C2-0101,148,148,183.52,1
