NEW OP,Purchase Price,Item Name/Number,Vendor Purchase Price
7195.00,5036.50,Clear-Com PG16-8LI-8LO-FX,5036.50
7370.00,5159.00,Clear-Com PG16-16LO-FX,5159.00
7715.00,5400.50,Clear-Com PG16-8MI-8LO-FX,5400.50
8065.00,5645.50,Clear-Com PG16-16MI-FX,5645.50
8225.00,6168.75,Clear-Com FSII-BASE-II-5,6168.75
10010.00,7507.50,Clear-Com MUX-22-CC,7507.50
10010.00,7507.50,Clear-Com MUX-22-RTS,7507.50
10010.00,7507.50,Clear-Com MUX-22-CC-6IN-2OUT,7507.50
10010.00,7507.50,Clear-Com MUX-22-GPIO,7507.50
10010.00,7507.50,Clear-Com MUX-22-GPIO-2IN-6OUT-SER,7507.50
10010.00,7507.50,Clear-Com MUX-22-GPIO-6IN-2OUT-SER,7507.50
10010.00,7507.50,Clear-Com MUX-22-MADI-OPT,7507.50
10010.00,7507.50,Clear-Com MUX-22-MADI-BNC,7507.50
10010.00,7507.50,Clear-Com MUX-22-CC-8IN,7507.50
10010.00,7507.50,Clear-Com MUX-22-RTS-8IN,7507.50
10010.00,7507.50,Clear-Com MUX-22-MADI-OPT-8IN,7507.50
10010.00,7507.50,Clear-Com MUX-22-MADI-BNC-8IN,7507.50
10010.00,7507.50,Clear-Com MUX-22-CC-8OUT,7507.50
10010.00,7507.50,Clear-Com MUX-22-CC-2IN-6OUT,7507.50
10010.00,7507.50,Clear-Com MUX-22-RTS-8OUT,7507.50
10010.00,7507.50,Clear-Com MUX-22-MADI-OPT-8OUT,7507.50
10160.00,8128.00,Clear-Com CZ11515,8128.00
11255.00,9004.00,Clear-Com CZ11513,9004.00
11530.00,9224.00,Clear-Com CZ-DX410-4UP,9224.00
11910.00,8932.50,Clear-Com FSII-BASE-II,8932.50
11910.00,8932.50,Clear-Com FSII-BASE-II-X5,8932.50
